#calName, ra, dec, zCal
J0425-5331, 66.2678051416, -53.5328498472, 0.39
J0426+2327, 66.7322283, 23.4610094, 0.55
J0427+0457, 66.9482105, 4.9523127, 0.517
J0428-6438, 67.0453343916, -64.63982245, -999
J0429+2724, 67.4706699167, 27.4105211944, -999
J0431+1731, 67.9890801584, 17.5266043028, 0.143
J0431+2037, 67.7656723958, 20.6261846917, 0.219
J0433+0521, 68.2962314, 5.35433870278, 0.033
J0433+2905, 68.4076244, 29.0987436, 0.97
J0435+2532, 68.8940956709, 25.5499163361, 0.602881
J0437-7148, 69.26824, -71.8056, 0.6
J0438+2153, 69.7328539958, 21.8861964306, -999
J0438+3004, 69.5206179667, 30.07931055, 1.454
J0438-1251, 69.6459208708, -12.85093305, 1.277
J0439+3045, 69.8240604166, 30.7520979, -999
J0439-4522, 69.7535608333, -45.3729341389, 2.017
J0440+1437, 70.0880804, 14.6324866, -999
J0440+2728, 70.1155812083, 27.477967, 0.8
J0440-4333, 70.0715832209, -43.5523900333, 2.728
J0440-6952, 70.1989892292, -69.8716908639, -999
J0441-3300, 70.3959635209, -33.00232665, 0.6
J0441-5154, 70.4928222834, -51.9150470167, -999
J0442-0017, 70.6610863791, -0.295394575, 0.844
J0449+1121, 72.2819629417, 11.35794345, 1.207
J0450-8101, 72.5226674375, -81.0172864667, 0.444
J0451-4653, 72.9722720708, -46.8888578806, 0.602
J0453-2807, 73.3110282959, -28.1270351445, 2.544
J0455-4615, 73.9615521542, -46.2662999417, 0.855
J0457-2324, 74.2632467917, -23.41445, 0.878
J0501-0159, 75.3033745, -1.98729338889, 2.178
J0502+0609, 75.5643581, 6.1520817, 1.106
J0502+3436, 75.6247751833, 34.6096017, -999
J0504-1512, 76.1199879791, -15.2074579556, 0.7
J0505+0459, 76.3466030375, 4.99520125833, 0.954
J0506-6109, 76.6832864167, -61.1613871389, 1.093
J0509+1806, 77.428800, 18.108420, -999
J0510+1800, 77.5098708334, 18.0115505556, 0.416
J0510-3142, 77.6930871542, -31.7149807472, -999
J0511-6806, 77.873232625, -68.1048261111, -999
J0512+2927, 78.1758576958, 29.4510029361, -999
J0513-2159, 78.4546430084, -21.9878033417, 1.296
J0516-6207, 79.1871923834, -62.1181636611, 1.3
J0516-7237, 79.1571624125, -72.6187405361, -999
J0517-0520, 79.36712575, -5.34467847222, 1.485
J0518-6935, 79.6357777083, -69.5892667778, 0.02
J0519+2744, 79.8876134, 27.7345397, -999
J0519-4546, 79.9571798457, -45.7788481111, 0.035
J0521+1638, 80.2911915, 16.6394588056, 0.759
J0521+2112, 80.4415243, 21.2142921, 0.108
J0522-3627, 80.7416041667, -36.4585697222, 0.056
J0525-2338, 81.277108, -23.636335, 3.1
J0526-6749, 81.6470296667, -67.8190157722, -999
J0527-1002, 81.8502529249, -10.0492420695, -999
J0529-0519, 82.4730562875, -5.32822701945, 0.685
J0529-2515, 82.4877806667, -25.2663699444, -999
J0529-7245, 82.3751757125, -72.7579187083, 1.34
J0530+1331, 82.7350697875, 13.5319859778, 2.0
J0531-4827, 82.9942298459, -48.4599924306, -999
J0532+0732, 83.1624937083, 7.54537380556, 1.254
J0532-0307, 83.0313304292, -3.11862151111, 1.877
J0536-3401, 84.1184681709, -34.0198523, 0.682
J0538-4405, 84.7098416666, -44.0858163889, 0.894
J0539+1433, 84.9265249583, 14.5626560556, 2.69
J0540-5418, 85.191035, -54.306138, 1.0
J0541-0211, 85.3404011208, -2.18566292222, -999
J0541-0541, 85.4086807083, -5.69706347222, 0.839
