obj            B6
J0457-2324       7.66
J0117+1418       7.66
J1130-1449       2.42
J0516-7237       1.61
J1640-3727       7.48
J0455-4615       2.42
J1446+1721       0.71
J1903-6749       3.63
J0942-0759       7.26
J2109-4110       7.26
J1312-7724       7.26
J0427+0457       7.06
J1329+3154       6.85
J0453-2807       4.44
J0433+2905       6.85
J1713-3418       5.64
J1312-0424       5.54
J0547+2721       6.72
J0608-5456       6.59
J2246-1206       3.29
J1742-1517       6.55
J0441-5154       6.45
J0145-2733       4.03
J0433+0521       3.63
J0403+2600       6.45
J1730+0024       5.64
J1537+2300       6.45
J0559-1817       6.45
J0418+3801       0.00
J0141-0202       6.37
J1135-0428       4.59
J1945-5520       1.61
J0137-2430       6.18
J0113+0222       6.18
J1604-2223       0.00
J2057-3734       6.08
J0030-4224       6.08
J1342-2051       6.05
J0130+0842       3.63
J0648-3044       6.05
J2146-7755       0.00
J1939-1525       6.05
J0654-1053       5.97
J1258-1800       5.95
J2114+2832       4.70
J2229-0832       0.71
J1914+1636       3.23
J0348-1610       0.00
J1441-1523       2.82
J0118-2141       2.42
J1819-6345       2.82
J0531-4827       5.64
J1205-2634       5.64
J1945-0153       5.64
J2135-5006       5.64
J1252-6737       5.64
J2040-5735       5.64
J0437-7148       5.64
J0406-3826       0.00
J1535-4730       2.82
J0013+4051       0.00
J1827-0405       5.64
J0120-2701       1.41
J1006-5018       5.38
J1606+1814       5.24
J0502+0609       2.02
J1604-4228       5.24
J2309-3059       5.24
J2334+0736       0.00
J1048-1909       5.24
J1039-1541       5.17
J1310+3220       0.00
J0051-0650       5.01
J1718-1120       4.99
J1059-1134       4.97
J0058-3234       4.94
J2023+3153       0.00
J1923-2104       4.84
J0526-6749       4.84
J2358-4555       3.23
J0349-4858       4.84
J1305-1033       2.42
J0710-3850       2.42
J0607-6031       4.84
J0658-5840       4.84
J0303-2407       4.84
J1352-4412       4.84
J2042-2255       4.84
J2300+1655       2.42
J0824+3916       0.00
J1532-1319       2.22
J0449+1121       1.76
J0231-4746       4.50
J0815+3635       4.44
J1112-5703       4.44
J0853+0654       4.44
J1415+1320       4.44
J1045+1735       4.33
J0220+3241       4.23
J0435+2532       4.18
J1011-0423       4.03
J0922-3959       4.03
J1627-2426       4.03
J0040+0125       4.03
J0049-4457       2.82
J1315-5334       4.03
J1330+2509       2.02
J1930-6056       4.03
J2050+3619       2.02
J2158-3013       1.21
J1536-3151       4.00
J1516+1932       3.93
J1656+1826       3.90
J0718-4319       0.00
J0825+2704       3.73
J0502+1338       3.68
J0317-2803       3.65
J2336-5236       3.63
J1245-1616       3.63
J0051-4226       3.63
J2139-4235       3.63
J1120-1243       3.63
J1133+0040       3.63
J0506-6109       0.00
J0724-0715       0.00
J2337-0230       3.56
J2339-3310       1.20
J1018-3123       1.41
J1220-5604       1.41
J0121+0422       3.33
J1629-1720       3.29
J1512+0203       3.23
J0429+2724       0.00
J1708+0035       3.23
J0933-1139       3.23
J0511-6806       3.23
J0613+2604       1.21
J0613+1708       3.23
J0152+2207       3.23
J1155-5730       3.23
J2239-5701       3.23
J2109+3532       3.23
J0816-2421       0.00
J1227-4436       3.23
J2035+1056       3.23
J2011-1546       3.21
J1624-3213       3.12
J1145+0455       3.09
J0010+1724       3.06
J1408-5712       2.96
J0519+2744       2.94
J1635+3808       0.00
J2130+1643       2.82
J1303-5540       1.21
J0133-5200       0.81
J0412+1856       0.00
J1257-3155       2.02
J0529-2515       2.82
J0550+2326       2.82
J1419+0628       2.82
J2358-1020       2.82
J0004+2019       0.00
J1812-0648       0.00
J2123+0535       0.00
J0851-5228       2.82
J1510-0843       2.82
J0642+3509       2.82
J0049-5738       0.00
J0830+2410       2.82
J0112-6634       0.00
J2151-2742       2.82
J1728+0427       1.21
J2000-1325       2.82
J1339-2620       2.82
J1516+0015       2.82
J0315-1656       2.77
J0050-0929       2.62
J2031+1219       2.47
J2141-6411       1.21
J1103+3014       0.00
J1421-4820       2.42
J0017-0512       2.42
J0552+1913       2.42
J1933-6942       2.42
J0502+3436       2.42
J2308-4557       2.42
J1448-1620       2.42
J0259+0747       0.00
J2004-6347       2.42
J0648-1744       0.00
J0146-5202       2.42
J1812-2836       2.42
J2039+2152       2.42
J1825-0737       2.42
J1522-2730       2.42
J0513-2159       2.42
J0103-6439       2.42
J2212+0646       2.35
J0823+2223       2.35
J2306-0459       2.35
J1751-1950       2.22
J0422+3058       2.19
J0919-5340       2.15
J0117-2111       2.15
J1928+0848       2.15
J0439-4522       2.15
J0831+0429       2.12
J1510-0543       0.00
J0539-2839       0.00
J0407-1211       2.02
J0808+0514       2.02
J2105-4848       2.02
J1333-2356       2.02
J0629-1959       2.02
J2254+0054       2.02
J0931+1414       2.02
J1425+1424       2.02
J0110-0741       2.02
J0603+2159       0.81
J1007-3333       0.81
J0301+0118       2.02
J1504+1029       0.00
J1041+0610       2.02
J1617-2537       2.02
J0154+0823       2.02
J1816-3052       0.00
J1116+0829       1.98
J0757+0956       0.71
J0930+0034       1.92
J1420-0642       1.88
J1152-0841       1.88
J2222+1213       1.76
J1051+2027       1.76
J1019-2708       1.61
J0505+0459       1.61
J0112+2244       1.61
J0703-0051       1.61
J1229-6003       1.61
J1006+0509       1.61
J1908+1201       1.61
J0059+0006       1.61
J1448+0402       1.61
J2057-0719       1.61
J0650-1637       1.61
J0653-0625       1.61
J0037+1109       1.61
J1648+2224       1.61
J0336-2644       1.60
J2200+1030       1.41
J1007+1356       1.41
J1600-5811       1.41
J0211+1051       1.41
J0544+1118       1.41
J1146+3958       1.41
J1038-2151       1.29
J1641+2257       1.24
J1421-1931       1.21
J0204+1514       0.00
J1534-2243       1.21
J1048+0055       1.21
J0525-2338       0.00
J1809-4552       0.00
J1744-5144       1.21
J1956-3225       1.21
J1502-1508       1.21
J1122+1805       1.21
J1521+0420       1.21
J1419+2706       1.21
J0202-0559       1.21
J1405+0415       1.21
J1445-1629       1.21
J2349-4932       1.21
J2230-1325       1.21
J1239-1023       0.00
J1101-6325       0.00
J0700+1709       1.21
J0152+3716       1.21
J1820-1111       0.00
J1038+0512       1.21
J1438-2204       1.21
J2235-4835       0.00
J0153-3310       1.06
J0040-0146       1.06
J0604-4225       1.06
J1357+1919       1.06
J1424-7241       1.06
J1259-2310       0.94
J2214+0711       0.94
J1332-0509       0.94
J1647+2705       0.94
J1209-2406       0.94
J2139+1423       0.94
J0136-4044       0.94
J0519+0848       0.94
J2024-3253       0.00
J2238+1242       0.81
J0731-2224       0.81
J0119+0829       0.81
J1825-5230       0.81
J2358+3922       0.81
J0731-2341       0.81
J1136-6827       0.81
J1125+2005       0.81
J0555+3948       0.81
J1357-1527       0.81
J1248-0632       0.77
J1016+0513       0.71
J1121-0553       0.71
J2321+2732       0.71
J0402-3147       0.71
J0252+1718       0.71
J1118-4634       0.71
J0126-2222       0.71
J1813+2952       0.29
