obj B3 B4 B5 B6 B7 B8 B9 B10
J0440-6952 0 0 0 0 0 0 0 0
J1039-1541 0 0 0 0 0 0 0 0
J2348-1631 0 0 0 0 0 0 0 0
J0121+0422 0 0 0 0 0 0 0 0
J1634-2058 0 0 0 0 0 0 0 0
J2308-4557 0 0 0 0 0 0 0 0
J0216-1017 0 0 0 0 0 0 0 0
J1716+2152 0 0 0 0 0 0 0 0
J1504+1029 0 0 0 0 0 0 0 0
J0110-0741 0 0 0 0 0 0 0 0
J1903-6749 0 0 0 272.09999999999997 0 0 0 0
J0747-3310 0 0 0 0 0 0 0 0
J0522-3627 744.0999999999999 0 0 626.0999999999999 1903.5 928.9 0 0
J0746-1555 0 0 0 0 0 0 0 0
J1424-7241 0 0 0 0 0 0 0 0
J1000+0005 0 0 0 0 0 0 0 0
J0040-3243 211.70000000000002 0 0 0 0 0 0 0
J1947-0103 0 0 0 0 0 0 0 0
J0526-4830 0 0 0 0 0 0 0 0
J2005-1822 0 0 0 0 0 0 0 0
J0710-3850 0 0 0 0 0 0 0 0
J1315-5334 0 0 0 0 0 0 0 0
J1150-0023 0 0 0 181.49999999999997 0 0 0 0
J2218-0335 0 0 0 0 0 0 0 0
J0010+1058 0 302.2 0 0 0 0 0 0
J1809-4552 0 0 0 0 0 0 0 0
J1028+0255 0 0 0 0 0 0 0 0
J0241-0815 0 0 0 0 0 0 0 0
J1044+0655 0 0 0 0 0 0 0 0
J2357-1125 0 0 0 0 0 0 0 0
J1537+2300 0 0 0 0 0 0 0 0
J1155-8101 0 0 0 0 0 0 0 0
J0930+0034 0 0 0 0 0 0 0 0
J0506-6109 0 0 0 0 0 0 0 0
J1120-1243 0 0 0 0 0 0 0 0
J1824+0119 0 0 0 0 0 0 0 0
J0151+2744 0 0 0 0 0 0 0 0
J1349-3056 272.2 0 0 0 0 0 0 0
J1139-1350 0 0 0 0 0 0 0 0
J0438-1251 0 0 0 0 0 0 0 0
J1426-0215 0 0 0 0 0 0 0 0
J1136-6827 0 0 0 0 0 0 0 0
J0132-1654 0 0 0 0 0 0 0 0
J0049-4457 0 0 0 0 0 0 0 0
J1008+0621 0 0 0 0 90.7 0 0 0
J0442-0017 0 0 0 0 0 0 0 0
J2337-0230 0 0 0 0 0 0 0 0
J0922-0529 0 0 0 0 0 0 0 0
J1604-4441 0 0 0 120.8 0 0 0 0
J1015+1227 0 0 0 0 0 0 0 0
J0149+0555 0 0 0 0 0 0 0 0
J1650-5044 2455.9999999999995 0 0 379.1 2599.8999999999996 0 0 0
J0011-1434 0 0 0 0 0 0 0 0
J0056+1625 0 0 0 0 0 0 0 0
J0030-4224 0 0 0 0 0 0 0 0
J2316+1618 0 0 0 0 0 0 0 0
J2157-6941 0 0 0 0 0 0 0 0
J0547+1223 0 0 0 0 0 0 0 0
J1427-3305 0 0 0 0 0 0 0 0
J0313+4120 0 0 0 0 0 0 0 0
J1937-3958 0 0 0 0 0 0 0 0
J1822+1600 0 0 0 0 0 0 0 0
J0502+1338 0 0 0 0 0 0 0 0
J0110-6315 181.3 0 0 0 0 0 0 0
J1408-0752 0 0 0 0 0 0 0 0
J2011-1546 0 0 0 0 0 0 0 0
J1051-3138 0 0 0 0 0 0 0 0
J0104-2416 0 0 0 0 0 0 0 0
J1507-1652 0 0 0 0 0 0 0 0
J0914+0245 0 0 0 0 0 0 0 0
J1718-1120 0 0 0 0 0 0 0 0
J2018-0509 0 0 0 0 0 0 0 0
J1215+3448 0 0 0 0 0 0 0 0
J0542-0913 0 0 0 0 0 0 0 0
J0845-5458 0 0 0 0 0 0 0 0
J0529-7245 258.09999999999997 0 0 0 0 0 0 0
J2000-1748 441.7 0 0 0 0 0 0 0
J2024-3253 0 0 0 0 0 0 0 0
J0724-0715 0 0 0 0 0 0 0 0
J0750+1231 318.5 0 0 302.4 634.0 0 0 0
J1540+1447 0 0 0 0 0 0 0 0
J0439+3045 0 0 0 0 0 0 0 0
J0552-4522 0 0 0 0 0 0 0 0
J1332+0200 0 0 0 0 0 0 0 0
J0441-5154 151.1 0 0 0 0 0 0 0
J1825-1718 211.6 0 0 0 0 0 0 0
J2330-3724 0 0 0 0 0 0 0 0
J1505+0326 0 0 0 0 0 0 0 0
J1336-3357 0 0 0 0 0 0 0 0
J0245-4459 0 0 0 0 0 0 0 0
J0847-0703 0 0 0 0 0 0 0 0
J0909-1248 0 0 0 0 0 0 0 0
J1032-5917 0 0 0 272.5 0 0 0 0
J1347+1217 0 0 0 0 0 0 0 0
J2217+2421 0 0 0 0 0 0 0 0
J0401+0413 0 0 0 0 0 0 0 0
