obj B3 B4 B5 B6 B7 B8 B9 B10
J1120-1243 352.79999999999995 0 0 272.09999999999997 0 0 0 0
J1824+0119 229.70000000000002 0 0 2147.3999999999996 0 0 0 0
J0151+2744 544.1999999999999 0 0 0 0 0 0 0
J1349-3056 1270.1 0 0 0 0 0 0 0
J1139-1350 1290.6 0 0 0 0 0 0 0
J0438-1251 1604.8000000000002 181.49999999999997 0 1271.9 0 0 0 0
J1426-0215 181.29999999999998 0 0 0 0 0 0 0
J1136-6827 0 0 0 60.5 76.6 0 0 0
J0132-1654 0 181.5 0 3938.2999999999997 1390.8999999999999 0 1693.7 0
J0049-4457 362.59999999999997 60.5 60.4 332.5 122.90000000000002 0 0 0
J1008+0621 3205.1 2419.3999999999996 90.7 5718.6 10898.9 0 0 0
J0442-0017 988.0 0 60.5 1165.6 378.90000000000003 0 0 0
J2337-0230 1922.8999999999999 120.89999999999999 0 242.0 1066.0 0 0 0
J0922-0529 0 0 2166.7 2197.0 0 0 0 0
J1604-4441 151.2 1056.1000000000008 0 3941.2999999999997 12155.099999999999 213.8 483.59999999999997 0
J1015+1227 302.4 0 0 0 0 0 0 0
J0149+0555 151.2 0 0 663.3 60.5 0 0 0
J1650-5044 12637.399999999996 272.29999999999995 0 8299.2 7324.9 0 0 0
J0011-1434 0 0 0 0 392.8 0 0 0
J0056+1625 241.79999999999998 0 0 669.4 0 0 0 0
J0030-4224 1027.9 302.6 0 544.3 213.5 0 0 0
J2316+1618 0 1215.500000000001 0 1034.5 0 0 0 0
J2157-6941 3265.7000000000003 0 0 0 547.7 0 0 0
J0547+1223 266.1 121.1 0 0 235.99999999999994 0 0 0
J1427-3305 840.3 0 0 0 0 0 0 0
J0313+4120 0 0 0 3448.100000000003 0 0 0 0
J1937-3958 151.3 0 0 653.5 0 0 0 0
J1822+1600 0 0 0 0 211.49999999999997 0 0 0
J0502+1338 127.00000000000001 126.89999999999999 0 350.69999999999993 0 0 0 0
J0110-6315 332.6 0 0 0 0 0 0 0
J1408-0752 0 0 0 1935.4999999999998 491.9 689.3000000000001 0 0
J2011-1546 0 60.4 0 304.4 0 0 0 0
J1051-3138 0 0 0 2691.6000000000017 0 0 0 0
J0104-2416 60.5 151.1 0 0 0 0 0 0
J1507-1652 272.3 0 1391.5000000000002 1753.6 241.7 0 0 0
J0914+0245 1693.3999999999999 544.3 0 635.1999999999999 2798.5 0 0 0
J1718-1120 0 0 0 707.5000000000005 0 0 0 0
J2018-0509 0 0 0 653.1 0 0 0 0
J1215+3448 0 0 0 1269.8000000000002 0 0 0 0
J0542-0913 9356.1 2020.3999999999999 0 7229.300000000001 5218.499999999999 0 5806.599999999999 0
J0845-5458 1271.3 0 0 3974.7000000000044 0 0 786.3 0
J0529-7245 28858.300000000003 0 0 7656.800000000002 11468.099999999999 0 0 0
J2000-1748 13445.099999999999 1202.7 4247.9 22389.500000000015 2432.5 0 0 0
J2024-3253 0 0 0 60.5 0 0 0 0
J0724-0715 0 0 0 272.1 0 0 0 0
J0750+1231 29950.500000000015 7583.7 1055.6999999999998 27535.40000000002 7520.899999999999 0 0 0
J1540+1447 336.1 151.2 0 3267.1000000000004 1126.8 1814.5 0 0
J0439+3045 213.7 0 0 3463.200000000003 0 0 0 0
J0552-4522 60.4 0 0 0 0 0 0 0
J1332+0200 2123.5000000000005 544.9 0 1911.2000000000003 1993.4999999999998 963.7 0 0
J0441-5154 453.4 392.90000000000003 558.4 483.99999999999994 0 0 0 0
J1825-1718 1315.8999999999999 0 0 2957.3000000000015 0 0 0 0
J2330-3724 0 0 0 759.7 0 0 0 0
J1505+0326 60.5 60.5 453.4 2019.7 603.0 0 0 0
J1336-3357 0 0 0 3861.8000000000006 0 0 0 0
