#SIDES number counts at 870 microns
# column 1: Flux density in Jy
# column 2: Euclidian-normalized differential counts dN/dS*S^2.5 in gal*Jy^1.5/sr
# column 3: uncertainty
0.00037646027989352227 514.69598351216 7.325195426607305
0.00042239538135221424 575.1654471749254 8.441900324624449
0.0004739354128890996 604.3590141362554 9.433901295691951
0.00053176427940879 650.8993387435486 10.673349757512504
0.0005966493348352478 713.4799480488253 12.18245208706247
0.0006694515644321392 760.7030336850097 13.713597547863577
0.0007511370095541797 791.2687338715318 15.247752315930137
0.0008427895864289795 848.9314261909165 17.217898027769543
0.0009456254690668343 873.6545682806012 19.04205003881023
0.0010610092271509382 871.6140083268597 20.735090094820006
0.0011904719330480158 894.0411235436987 22.894047198047197
0.0013357314782084047 915.5520032210491 25.257207639581146
0.0014987153685418705 938.247815311471 27.87421252136911
0.001681586301249946 964.5255304659187 30.810637887940548
0.0018867708625038197 950.994921164097 33.352848040654784
0.0021169917267685173 948.1390344180168 36.30612004562113
